date,uk inflation,uk house prices,uk cost of living,uk housing shortage
10/09/2017,29,22,10,0
17/09/2017,17,22,6,0
24/09/2017,17,23,7,0
01/10/2017,19,21,8,0
08/10/2017,26,26,8,0
15/10/2017,39,26,8,1
22/10/2017,20,26,7,1
29/10/2017,20,24,6,1
05/11/2017,24,25,7,0
12/11/2017,29,20,8,0
19/11/2017,20,22,8,0
26/11/2017,17,19,7,1
03/12/2017,20,21,7,0
10/12/2017,27,23,6,0
17/12/2017,19,21,7,0
24/12/2017,13,24,7,0
31/12/2017,22,27,8,0
07/01/2018,25,26,11,0
14/01/2018,26,25,10,2
21/01/2018,25,22,12,0
28/01/2018,19,24,10,0
04/02/2018,25,22,8,0
11/02/2018,26,21,8,1
18/02/2018,22,18,10,0
25/02/2018,18,17,10,1
04/03/2018,23,20,11,1
11/03/2018,22,23,10,0
18/03/2018,27,24,12,0
25/03/2018,24,23,11,0
01/04/2018,19,20,9,1
08/04/2018,20,24,6,0
15/04/2018,28,20,8,0
22/04/2018,24,22,9,1
29/04/2018,18,21,8,0
06/05/2018,20,24,9,0
13/05/2018,18,22,10,0
20/05/2018,21,22,8,0
27/05/2018,13,28,7,0
03/06/2018,14,21,6,1
10/06/2018,21,22,9,0
17/06/2018,18,22,7,1
24/06/2018,16,18,10,0
01/07/2018,11,18,9,0
08/07/2018,18,21,6,0
15/07/2018,21,19,9,0
22/07/2018,19,22,7,0
29/07/2018,18,27,11,0
05/08/2018,15,25,7,0
12/08/2018,20,29,9,0
19/08/2018,16,22,9,0
26/08/2018,19,25,9,0
02/09/2018,19,21,9,0
09/09/2018,23,26,9,0
16/09/2018,20,28,10,0
23/09/2018,20,25,9,1
30/09/2018,20,24,7,0
07/10/2018,21,24,7,1
14/10/2018,25,21,8,0
21/10/2018,18,21,7,1
28/10/2018,21,18,9,0
04/11/2018,20,21,6,0
11/11/2018,23,20,9,0
18/11/2018,19,22,5,1
25/11/2018,18,24,6,1
02/12/2018,18,21,8,1
09/12/2018,22,18,8,1
16/12/2018,18,18,5,0
23/12/2018,12,19,6,0
30/12/2018,17,28,8,1
06/01/2019,25,25,9,0
13/01/2019,27,25,11,0
20/01/2019,19,24,10,0
27/01/2019,20,27,9,1
03/02/2019,19,24,9,0
10/02/2019,21,20,10,0
17/02/2019,21,20,9,0
24/02/2019,22,19,8,0
03/03/2019,21,19,8,0
10/03/2019,18,21,10,0
17/03/2019,23,16,8,0
24/03/2019,21,17,11,0
31/03/2019,21,17,8,0
07/04/2019,19,16,9,0
14/04/2019,17,18,8,0
21/04/2019,21,17,9,0
28/04/2019,21,22,8,0
05/05/2019,17,19,10,0
12/05/2019,18,21,9,1
19/05/2019,19,19,9,0
26/05/2019,13,21,8,1
02/06/2019,17,16,6,0
09/06/2019,15,20,8,0
16/06/2019,15,19,7,0
23/06/2019,16,17,10,0
30/06/2019,19,21,7,0
07/07/2019,16,22,9,0
14/07/2019,19,21,9,2
21/07/2019,17,26,9,0
28/07/2019,15,23,9,0
04/08/2019,14,27,9,0
11/08/2019,21,24,9,2
18/08/2019,19,22,8,0
25/08/2019,15,21,9,0
01/09/2019,19,23,9,0
08/09/2019,22,25,10,0
15/09/2019,19,21,9,0
22/09/2019,17,21,9,0
29/09/2019,20,19,9,0
06/10/2019,20,17,10,0
13/10/2019,20,15,10,0
20/10/2019,16,18,7,1
27/10/2019,15,17,8,0
03/11/2019,22,17,9,1
10/11/2019,21,16,10,0
17/11/2019,21,15,8,0
24/11/2019,24,16,11,0
01/12/2019,22,15,8,0
08/12/2019,18,16,7,0
15/12/2019,20,20,8,1
22/12/2019,13,17,7,0
29/12/2019,21,24,8,0
05/01/2020,24,24,12,0
12/01/2020,26,21,11,0
19/01/2020,23,25,9,0
26/01/2020,23,23,8,0
02/02/2020,24,23,9,0
09/02/2020,21,24,9,0
